pub_date	title	venue	excerpt	citation	url_slug	paper_url
2025-01-01	[13] DocCHA: Towards LLM-Augmented Interactive Online diagnosis System	SIGDIAL 2025		Xinyi Liu, Dachun Sun, Yi R Fung, Dilek Hakkani-Tür, Tarek Abdelzaher. (2025). "DocCHA: Towards LLM-Augmented Interactive Online diagnosis System." <i>SIGDIAL 2025</i>.	doccha	
2025-01-02	[12] GPSocio: A Transformer-based General-purpose Social Network Representation System	ASONAM 2025		Xinyi Liu, Dachun Sun, Tarek Abdelzaher. (2025). "GPSocio: A Transformer-based General-purpose Social Network Representation System." <i>ASONAM 2025</i>.	gpsocio	
2025-01-03	[11] Beliefs in Motion: Simulating Opinion Dynamics via LLM-Powered Community Reactions	ASONAM 2025		Xinyi Liu, Dachun Sun, Dilek Hakkani Tur, Tarek Abdelzaher. (2025). "Beliefs in Motion: Simulating Opinion Dynamics via LLM-Powered Community Reactions." <i>ASONAM 2025</i>.	beliefs	
2025-01-04	[10] Influence Message Wargaming in the Metaverse: Towards LLM-Based Persuasion and Counter-Persuasion	IEEE MetaCom 2025		Xinyi Liu, Dachun Sun, Tarek Abdelzaher. (2025). "Influence Message Wargaming in the Metaverse: Towards LLM-Based Persuasion and Counter-Persuasion." <i>IEEE MetaCom 2025</i>.	influence	
2025-01-05	[9] Uncovering Cross-Domain Recommendation Ability of Large Language Models	WWW workshop 2025		Xinyi Liu, Ruijie Wang, Dachun Sun, Dilek Hakkani-Tur, Tarek Abdelzaher. (2025). "Uncovering Cross-Domain Recommendation Ability of Large Language Models." <i>WWW workshop 2025</i>.	recommendation	
2023-01-01	[8] Influence Pathway Discovery on Social Media	IEEE CIC 2023		Xinyi Liu, Ruijie Wang, Dachun Sun, Jinning Li, Christina Youn, You Lyu, Jianyuan Zhan, Dayou Wu, Xinhe Xu, Mingjun Liu, Xinshuo Lei, Zhihao Xu, Yutong Zhang, Zehao Li, Qikai Yang, Tarek Abdelzaher. (2023). "Influence Pathway Discovery on Social Media." <i>IEEE CIC 2023</i>.	pathway	
2023-01-02	[7] Unsupervised Image Classification by Ideological Affiliation from User-Content Interaction Patterns	ICWSM workshop 2023		Xinyi Liu, Jinning Li, Dachun Sun, Ruijie Wang, Tarek Abdelzaher, Matt Brown, Anthony Barricelli, Matthias Kirchner, Arslan Basharat. (2023). "Unsupervised Image Classification by Ideological Affiliation from User-Content Interaction Patterns." <i>ICWSM workshop 2023</i>.	classification	
2020-01-01	[6] Clustering Algorithm in Wireless Sensor Networks Based on Differential Evolution Algorithm	IEEE ITNEC 2020		Xinyi Liu, Ke Mei, and Shujuan Yu. (2020). "Clustering Algorithm in Wireless Sensor Networks Based on Differential Evolution Algorithm." <i>IEEE ITNEC 2020</i>.	clustering	
2025-01-06	[5] The Irrational LLM: Implementing Cognitive Agents with Weighted Retrieval-Augmented Generation	ICCCN 2025		Dachun Sun, You Lyu, Jinning Li, Xinyi Liu, Denizhan Kara, Christian Lebiere, Tarek Abdelzaher. (2025). "The Irrational LLM: Implementing Cognitive Agents with Weighted Retrieval-Augmented Generation." <i>ICCCN 2025</i>.	irrational	
2025-01-07	[4] Perturbation-based Graph Active Learning for Semi-Supervised Belief Representation Learning	ICCCN 2025		Dachun Sun, Jinning Li, Xinyi Liu, You Lyu, Hongjue Zhao, Denizhan Kara and Tarek Abdelzaher. (2025). "Perturbation-based Graph Active Learning for Semi-Supervised Belief Representation Learning." <i>ICCCN 2025</i>.	perturbation	
2025-01-08	[3] Anatomy of Conflict: a Tool for Understanding Conflict Dynamics from Social Media Data	IEEE SmartNets 2025		Dachun Sun, Jinning Li, You Lyu, Xinyi Liu, Christina Youn, Tarek Abdelzaher. (2025). "Anatomy of Conflict: a Tool for Understanding Conflict Dynamics from Social Media Data." <i>IEEE SmartNets 2025</i>.	anatomy	
2025-01-09	[2] Modeling Online Ideological Community Dynamics with Recurrent Variational Graph Auto-Encoders	IEEE IBDAP 2025		Dachun Sun, You Lyu, Jinning Li, Xinyi Liu, Tarek Abdelzaher. (2025). "Modeling Online Ideological Community Dynamics with Recurrent Variational Graph Auto-Encoders." <i>IEEE IBDAP 2025</i>.	modeling	
2021-01-01	[1] Low-Resolution ADCs for Two-Hop Massive MIMO Relay System under Rician Channels	Entropy 2021		Shujuan Yu, Xinyi Liu, Jun Cao, and Yun Zhang. (2021). "Low-Resolution ADCs for Two-Hop Massive MIMO Relay System under Rician Channels." <i>Entropy 2021</i>.	adc	
